Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules
Comment,Free text field (generally for QC comment),,,,FALSE,Imaging Level 2,,,
FOV number,Index of FOV (as it pertains to its sequence order). Integer >= 1,,,,FALSE,Imaging Level 2,,,
FOVX,Field of view X dimension. Floating point,,FOVXUnit,,FALSE,Imaging Level 2,,,
FOVXUnit,Field of view X dimension units. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),"cm, mm, µm, nm, Å",,,FALSE,Imaging Level 2,,,
FOVY,Field  of view Y dimension. Floating point value,,FOVYUnit,,FALSE,Imaging Level 2,,,
FOVYUnit,Field of view Y dimension units. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),"cm, mm, µm, nm, Å",,,FALSE,Imaging Level 2,,,
Frame Averaging,"Number of frames averaged together (if no averaging, set to 1). Integer >= 1",,,,FALSE,Imaging Level 2,,,
Image ID,"Unique internal image identifier. eg ""Image:0"". (To be extracted from OME-XML)",,,,TRUE,Imaging Level 2,,,
DimensionOrder,The order in which the individual planes of data are interleaved.,"XYZCT, XYZTC, XYCTZ, XYCZT, XYTZC",,,TRUE,Imaging Level 2,,,
PhysicalSizeX,Physical size (X-dimension) of a pixel. Units are set by PhysicalSizeXUnit. Floating point value > 0.,,PhysicalSizeXUnit,,TRUE,Imaging Level 2,,,
PhysicalSizeXUnit,The units of the physical size of a pixel. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),"cm, mm, µm, nm, Å",,,TRUE,Imaging Level 2,,,
PhysicalSizeY,Physical size (Y-dimension) of a pixel. Units are set by PhysicalSizeYUnit. Floating point value > 0.,,PhysicalSizeYUnit,,TRUE,Imaging Level 2,,,
PhysicalSizeYUnit,The units of the physical size of a pixel. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),"cm, mm, µm, nm, Å",,,TRUE,Imaging Level 2,,,
PhysicalSizeYUnit,Physical size (Z-dimension) of a pixel. Units are set by PhysicalSizeZUnit. Floating point value > 0.,,PhysicalSizeZUnit,,TRUE,Imaging Level 2,,,
PhysicalSizeYUnit,The units of the physical size of a pixel. See OME enumeration of allowed values for the UnitsLength attribute -- default: microns (um),"cm, mm, µm, nm, Å",,,TRUE,Imaging Level 2,,,
Pixels BigEndian,Boolean (True/False),"True, False",,,TRUE,Imaging Level 2,,,
PlaneCount,"Number of Z-planes (not to be confused with downsampled ""pyramid""). Integer >=1",,,,TRUE,Imaging Level 2,,,
SizeC,Number of channels. Integer >= 1,,,,TRUE,Imaging Level 2,,,
SizeT,Number of time points. Integer >= 1,,,,TRUE,Imaging Level 2,,,
SizeX,Size of image: X dimension (in pixels). Integer >= 1,,,,TRUE,Imaging Level 2,,,
SizeY,Size of image: Y dimension (in pixels). Integer >= 1,,,,TRUE,Imaging Level 2,,,
SizeZ,Size of image: Z dimension (in pixels). Integer >= 1,,,,TRUE,Imaging Level 2,,,
PixelType,"Data type for each pixel value. E.g. ""uint16""","int8, int16, int32, uint8, uint16, uint32, float, double, bit",,,TRUE,Imaging Level 2,,,
Nucleic Acid Source,The source of the input nucleic molecule,"Single Cell, Bulk Whole Cell, Single Nucleus, Bulk Nuclei",,,TRUE,Sequencing,,http://example.org/htan/NucleicAcidSource,
Single Cell Isolation Method,"The method by which cells are isolated into individual reaction containers at a single cell resolution (e.g. wells, micro-droplets)","Microfluidics Chip, Droplets, FACS, Plates, 10x, Nuclei Isolation",,,TRUE,scRNA-seq Level 1,,,
Dissociation Method,The tissue dissociation method used for scRNASeq or scATAC-seq assays,"gentleMACS, Dounce, Enzymatic Digestion, Not Applicable",,,TRUE,scRNA-seq Level 1,,,
Library Layout,Sequencing read type,"Paired End, Single Read",,,TRUE,Sequencing,,,
Nucleus Identifier,Unique nuclei barcode; added at transposition step. Determines which nucleus the reads originated from,Nuclei Barcode,,,TRUE,scATAC-seq Level 1,,,
Nuclei Barcode,Nuclei Barcode,"Nuclei Barcode Read, Nuclei Barcode Length",,,FALSE,scATAC-seq Level 1,,,
scATACseq Library Layout,Sequencing read type,scATACseq Paired End,,,TRUE,scATAC-seq Level 1,,,
Nuclei Barcode Read,Nuclei Barcode Read,,,,TRUE,scATAC-seq Level 1,,,
Nuclei Barcode Length,Nuclei Barcode Length,,,,TRUE,scATAC-seq Level 1,,,
scATACseq Paired End,A library layout type,"scATACseq Read1, scATACseq Read2",,,FALSE,scATAC-seq Level 1,,,
scATACseq Read1,Read 1 content description,"Cell Barcode and DNA Insert, Sample Index and DNA Insert",,,TRUE,scATAC-seq Level 1,,,
scATACseq Read2,Read 2 content description,"Cell Barcode and DNA Insert, Sample Index and DNA Insert",,,TRUE,scATAC-seq Level 1,,,
Threshold for Minimum Passing Reads,Threshold for calling cells,,,,TRUE,scATAC-seq Level 1,,,
Total Number of Passing Nuclei,Number of nuclei sequenced,,,,TRUE,scATAC-seq Level 1,,,
Median Fraction of Reads in Peaks,Median fraction of reads in peaks (FRIP),,Peaks Calling Software,,TRUE,scATAC-seq Level 1,,,
Median Fraction of Reads in Annotated cis DNA Elements,Median fraction of reads in annotated cis-DNA elements (FRIADE),,Peaks Calling Software,,TRUE,scATAC-seq Level 1,,,
Median Passing Read Percentage,Non-PCR duplicate nuclear genomic sequence reads not aligning to unanchored contigs out of total reads assigned to the nucleus barcode,,,,TRUE,scATAC-seq Level 1,,,
Median Percentage of Mitochondrial Reads per Nucleus,Contamination from mitochondrial sequences,,,,TRUE,scATAC-seq Level 1,,,
Peaks Calling Software,Generic name of peaks calling tool,,,,TRUE,scATAC-seq Level 1,,,
Read Indicator,Indicate if this is Read 1 (R1) or Read 2 (R2),"R1, R2",,,TRUE,Sequencing,,,
Read1,Read 1 content description,"Cell Barcode and UMI, cDNA",,,TRUE,scRNA-seq Level 1,,,
Read2,Read 2 content description,"Cell Barcode and UMI, cDNA",,,TRUE,scRNA-seq Level 1,,,
cDNA,"Complementary DNA. A DNA copy of an mRNA or complex sample of mRNAs, made using reverse transcriptase",,"cDNA Offset, cDNA Length",,FALSE,Sequencing,,,
cDNA Offset,Offset in sequence for cDNA read (in bp): number,,,,TRUE,Sequencing,,,
cDNA Length,Length of cDNA read (in bp): number,,,,TRUE,Sequencing,,,
Cell Barcode and UMI,Cell and transcript identifiers,,"UMI Barcode Offset, UMI Barcode Length, Median UMIs per Cell Number, Cell Barcode Offset, Cell Barcode Length, Valid Barcodes Cell Number",,FALSE,scRNA-seq Level 1,,,
Cell Barcode Offset,Offset in sequence for cell barcode read (in bp): number,,,,TRUE,scRNA-seq Level 1,,,
Cell Barcode Length,Length of cell barcode read (in bp): number,,,,TRUE,scRNA-seq Level 1,,,
Valid Barcodes Cell Number,Number,,,,TRUE,scRNA-seq Level 1,,,
UMI Barcode Offset,"Start position of UMI barcode in the sequence. Values: number, 0 for start of read",,,,TRUE,scRNA-seq Level 1,,https://www.ebi.ac.uk/arrayexpress/help/single-cell_submission_guide.html,
UMI Barcode Length,Length of UMI barcode read (in bp): number,,,,TRUE,scRNA-seq Level 1,,,
Median UMIs per Cell Number,Number,,,,TRUE,scRNA-seq Level 1,,,
Cell Median Number Reads,Median number of reads per cell. Number,,,,TRUE,scRNA-seq Level 3,,,
Cell Median Number Genes,Median number of genes detected per cell. Number,,,,TRUE,scRNA-seq Level 3,,,
Cell Total,Number of sequenced  cells. Applies to raw counts matrix only.,,,,TRUE,scRNA-seq Level 3,,,
Library Construction Method,Process which results in the creation of a library from fragments of DNA using cloning vectors or oligonucleotides with the role of adaptors [OBI_0000711],"Smart-seq2, Smart-SeqV4, 10xV1.0, 10xV1.1, 10xV2, 10xV3,10xV3.1, CEL-seq2, Drop-seq, inDropsV2, inDropsV3, TruDrop, sci-ATAC-seq",,,TRUE,Sequencing,,http://purl.obolibrary.org/obo/OBI_0000711,
Library Selection Method,How the molecules are isolated.,"Hybrid Selection, PCR, Affinity Enrichment, Other",,,TRUE,Sequencing,,,
Input Cells and Nuclei,"Number of cells and number of nuclei input; entry format: number, number",,,,TRUE,scRNA-seq Level 1,,,
CEL-seq2,Highly-multiplexed plate-based single-cell RNA-Seq assay,,"Empty Well Barcode, Well Index",,FALSE,scRNA-seq Level 1,,,
Empty Well Barcode,Unique cell barcode assigned to empty cells used as controls in CEL-seq2 assays.,,,,TRUE,scRNA-seq Level 1,,,
Well Index,Indicate if protein expression (EPCAM/CD45) positive/negative data  is available for each cell in CEL-seq2 assays,"Yes, No",,,FALSE,scRNA-seq Level 1,,,
Library Preparation Days from Index,Number of days between sample for assay was received in lab and the libraries were prepared for sequencing [number],,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Single Cell Dissociation Days from Index,Number of days between sample for single cell assay was received in lab and when the sample was dissociated and cells were isolated [number],,,,TRUE,scRNA-seq Level 1,,,
Sequencing Library Construction Days from Index,Number of days between sample for assay was received in lab and day of sequencing library construction [number],,,,TRUE,Sequencing,,,
Nucleic Acid Capture Days from Index,Number of days between sample for single cell assay was received in lab and day of nucleic acid capture part of library construction (in number of days since sample received in lab) [number],,,,TRUE,Sequencing,,,
Cryopreserved Cells in Sample,Indicate if library preparation was based on revived frozen cells.,"Yes, No",,,TRUE,scRNA-seq Level 1,,,
End Bias,"The end of the cDNA molecule that is preferentially sequenced, e.g. 3/5 prime tag/end or the full length transcript","3 Prime, 5 Prime, Full Length Transcript",,,TRUE,scRNA-seq Level 1,,,
Reverse Transcription Primer,"An oligo to which new deoxyribonucleotides can be added by DNA polymerase [SO_0000112]. The type of primer used for reverse transcription, e.g. oligo-dT or random primer. This allows users to identify content of the cDNA library input e.g. enriched for mRNA","Oligo-dT, Poly-dT, Feature barcoding, Random",,,TRUE,scRNA-seq Level 1,,http://www.sequenceontology.org/so_wiki/index.php/Category:SO:0000112_!_primer,
Feature barcoding,A method for adding extra channels of information to cells by running single-cell gene expression in parallel with other assays [https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/feature-bc],,Feature Reference Id,,FALSE,scRNA-seq Level 1,,https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/feature-bc,
Feature Reference Id,"Unique ID for this feature. Must not contain whitespace, quote or comma characters. Each ID must be unique and must not collide with a gene identifier from the transcriptome [https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/using/feature-bc-analysis#feature-ref]",,,,TRUE,scRNA-seq Level 1,,,
Spike In,A set of known synthetic RNA molecules with known sequence that are added to the cell lysis mix,"ERCC, Other Spike In, No Spike In, PhiX",,,TRUE,scRNA-seq Level 1,,,
ERCC,The External RNA Controls Consortium (ERCC) spike in set is commonly used in single-cell experiments for normalization,,"Spike In Concentration, Spike In Mix 1, Spike In Mix 2, Both Spike in Mixes",,FALSE,Spike In,,,
Spike In Concentration,The final concentration or dilution (for commercial sets) of the spike in mix [PMID:21816910],,,,TRUE,ERCC,,https://www.ncbi.nlm.nih.gov/pubmed/21816910,
Sequencing Platform,A platform is an object aggregate that is the set of instruments and software needed to perform a process [OBI_0000050]. Specific model of the sequencing instrument.,"Illumina Next Seq 500, Illumina Next Seq 550, Illumina Next Seq 2500, Illumina NovaSeq 6000,  Illumina MiSeq, 454 GS FLX Titanium, AB SOLiD 4 AB SOLiD 2, AB SOLiD 3, Complete Genomics, Illumina HiSeq X Ten, Illumina HiSeq X Five, Illumina Genome Analyzer II, Illumina Genome Analyzer IIx, Illumina HiSeq 2000, Illumina HiSeq 2500, Illumina HiSeq 4000, Illumina MiSeq, Illumina NextSeq, Ion Torrent PGM, Ion Torrent Proton, Ion Torrent S5, PacBio RS, Other, unknown, Not Reported",,,TRUE,Device,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Technical Replicate Group,A common term for all files belonging to the same cell or library. Provide a numbering of each library prep batch (can differ from encapsulation and sequencing batch),,,,FALSE,Sequencing,,,
Total Number of Input Cells,Number of cells loaded/placed on plates,,,,TRUE,Sequencing,,,
Sequencing Batch ID,Links samples to a specific local sequencer run. Can be string or 'null',,,,TRUE,Sequencing,,,
Single Nucleus Buffer,Nuclei isolation buffer,"NIB, 10x, Omni",,,TRUE,scATAC-seq Level 1,,,
Transposition Reaction,"Name of the transposase, transposon sequences","Tn5, EZ-Tn5, Tn5-059, Nextera Tn5, In-House",,,TRUE,scATAC-seq Level 1,,,
Read Length,"The length of the sequencing reads. Can be integer, null",,,,TRUE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Target Capture Kit,"Description that can uniquely identify a target capture kit. Suggested value is a combination of vendor, kit name, and kit version.","Not Applicable, Custom Targets File Provided, Custom AmpliSeq Cancer Hotspot GENIE-MDA Augmented Panel v1 - 46 Genes, Custom GENIE-DFCI OncoPanel - 275 Genes, Custom GENIE-DFCI Oncopanel - 300 Genes, Custom GENIE-DFCI Oncopanel - 447 Genes, Custom HaloPlex DLBCL Panel - 370 Genes, Custom Ion AmpliSeq Hotspot GENIE-MOSC3 Augmented Panel - 74 Genes, Custom Large Construct Capture TARGET-OS Panel - 8 Genes, Custom MSK IMPACT Panel - 341 Genes, Custom MSK IMPACT Panel - 410 Genes, Custom MSK IMPACT Panel - 468 Genes, Custom Myeloid GENIE-VICC Panel - 37 Genes, Custom Personalis ACEcp VAREPOP-APOLLO Panel v2, Custom PGDX SureSelect CancerSelect VAREPOP-APOLLO Panel - 203 Genes, Custom PGDX SureSelect CancerSelect VAREPOP-APOLLO Panel - 88 Genes, Custom SeqCap EZ HGSC VCRome v2.1 ER Augmented v1, Custom SeqCap EZ HGSC VCRome v2.1 ER Augmented v2, Custom SeqCap EZ TARGET-OS Panel - 7.0 Mb, Custom Solid Tumor GENIE-VICC Panel - 34 Genes, Custom SureSelect CGCI-BLGSP Panel - 4.6 Mb, Custom SureSelect CGCI-HTMCP-CC KMT2D And Hotspot Panel - 37.0 Kb, Custom SureSelect CGCI-HTMCP-CC Panel - 19.7 Mb, Custom SureSelect GENIE-UHN Panel - 555 Genes, Custom SureSelect Human All Exon v1.1 Plus 3 Boosters, Custom SureSelect TARGET-AML_NBL_WT Panel - 2.8 Mb, Custom Twist Broad Exome v1.0 - 35.0 Mb, Custom Twist Broad PanCancer Panel - 396 Genes, Foundation Medicine T5a Panel - 322 Genes, Foundation Medicine T7 Panel - 429 Genes, Ion AmpliSeq Cancer Hotspot Panel v2, Ion AmpliSeq Comprehensive Cancer Panel, Nextera DNA Exome, Nextera Rapid Capture Exome v1.2, SeqCap EZ HGSC VCRome v2.1, SeqCap EZ Human Exome v2.0, SeqCap EZ Human Exome v3.0, SureSelect Human All Exon v3, SureSelect Human All Exon v4, SureSelect Human All Exon v5, SureSelect Human All Exon v5 + UTR, TruSeq Amplicon Cancer Panel, TruSeq Exome Enrichment - 62 Mb, TruSeq RNA Exome, TruSight Myeloid Sequencing Panel, xGen Exome Research Panel v1.0, unknown",,,TRUE,Sequencing,,,
Library Selection Method,How RNA molecules are isolated.,"Hybrid Selection, PCR, Affinity Enrichment, Poly-T Enrichment, Random, rRNA Depletion, miRNA Size Fractionation, Other",,,TRUE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Library Preparation Kit Name,Name of Library Preparation Kit. String,,,,TRUE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Library Preparation Kit Vendor,Vendor of Library Preparation Kit. String,,,,TRUE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Library Preparation Kit Version,Version of Library Preparation Kit. String,,,,TRUE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
Adapter Name,Name of the sequencing adapter. String,,,,FALSE,Sequencing,,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group,
